file,descriptionEn,descriptionRu,descriptionUa
internalCompass_1.jpg,"""Surfing"" Is it sometimes sad and lonely? Chased by a series of failures? Don't worry, it's temporary. After a hurricane, the sky becomes clear, after a cold winter comes a warm summer, and after rain, the sun always appears. Everything will be fine, you just have to wait a bit. And then You can easily move forward like a surfer on the waves.","""Сёрфинг"" Иногда бывает грустно и одиноко? Преследует череда неудач? Не переживай — это временные трудности. После урагана небо становится чистым, после холодной зимы приходит тёплое лето, а после дождя всегда появляется солнце. Всё наладится, нужно немного подождать. И тогда Ты сможешь легко двигаться вперёд, как сёрфер по волнам.","""Серфінг"" Іноді буває сумно та самотньо? Переслідує низку невдач? Не хвилюйся — це тимчасові труднощі. Після урагану небо стає чистим, після холодної зими настає тепле літо, а після дощу завжди з'являється сонце. Все налагодиться, потрібно трохи зачекати. І тоді Ти зможеш легко рухатися вперед, як серфер хвилями."
internalCompass_2.jpg,"""Submarine"" This boat symbolizes your willingness to travel within yourself, giving you the courage to explore the unknown horizons of your soul and know yourself better. You already know the answers to all the questions, just give yourself time.","""Подводная лодка"" Эта лодка символизирует Твою готовность к путешествию внутрь себя, даря смелость исследовать неизведанные горизонты Твоей души и познать себя лучше. Ты уже знаешь ответы на все вопросы, просто дай себе время.","""Підводний човен"" Цей човен символізує Твою готовність до подорожі всередину себе, даруючи сміливість дослідити незвідані горизонти Твоєї душі і пізнати себе краще. Ти вже знаєш відповіді на всі запитання, просто дай собі час."
internalCompass_3.jpg,"""Soft toy"" A soft toy in the form of a teddy bear symbolizes safety. You can turn to your inner child, trust your desires and return to childhood memories.","""Мягкая игрушка"" Мягкая игрушка в виде медвежонка символизирует безопасность. Можно обратиться к своему внутреннему ребёнку, довериться своим желаниям и вернуться в детские воспоминания.","""М'яка іграшка"" М'яка іграшка у вигляді ведмедика символізує безпеку. Можна звернутися до своєї внутрішньої дитини, довіритися своїм бажанням і повернутися до дитячих спогадів."
internalCompass_4.jpg,"""Elf"" Did you feel like a character in a fairy tale? Or remember your childhood? To notice small joys around you, to see kindness, care and support - isn't this the secret of a harmonious life? Trust yourself, trust others - this is your path to harmony.","""Эльф"" Почувствовала себя персонажем сказки? Или вспомнила детство? Замечать вокруг себя маленькие радости, видеть добро, заботу и поддержку — не это ли секрет гармоничной жизни? Доверяй себе, доверяй окружающим — это Твой путь к гармонии.","""Ельф"" Відчула себе персонажем казки? Чи згадала дитинство? Помічати навколо себе маленькі радощі, бачити добро, турботу та підтримку — чи це не секрет гармонійного життя? Довіряй собі, довіряй оточуючим – це Твій шлях до гармонії."
internalCompass_5.jpg,"""Portal"" Now you are at a crossroads. We need to reach a new level. It can be scary and painful, but necessary. Having traveled this path, You will grow internally, become wiser and find your inner support.","""Портал"" Сейчас Ты на распутье. Нужно выйти на новый уровень. Это может быть страшно и болезненно, но необходимо. Пройдя этот путь, Ты вырастешь внутренне, станешь более мудрой и обретешь свою внутреннюю опору.","""Портал"" Зараз Ти на роздоріжжі. Потрібно вийти на новий рівень. Це може бути страшно та болісно, але необхідно. Пройшовши цей шлях, Ти виростеш внутрішньо, станеш мудрішою і здобудеш свою внутрішню опору."
internalCompass_6.jpg,"""Matryoshka"" You are on the way to understanding the inner truth and spiritual growth. You need to openly meet and explore your thoughts, feelings and emotions, because this is the key to understanding yourself. Be aware of your inner experiences in order to live in the moment, to meet everything that comes into your life with respect and understanding - after all, this is part of your life path.","""Матрёшки"" Ты на пути осознания внутренней истины и духовного роста. Тебе нужно открыто встретить и исследовать свои мысли, чувства и эмоции, ведь это ключ к пониманию себя. Осознай свои внутренние переживания, чтобы жить в моменте, встречать всё, что приходит в Твою жизнь, с уважением и пониманием — ведь это часть Твоего жизненного пути.","""Матрьошки"" Ти на шляху усвідомлення внутрішньої істини та духовного зростання. Тобі потрібно відкрито зустріти та дослідити свої думки, почуття та емоції, адже це ключ до розуміння себе. Усвідом свої внутрішні переживання, щоб жити в моменті, зустрічати все, що приходить у Твоє життя, з повагою і розумінням - адже це частина Твого життєвого шляху."
internalCompass_7.jpg,"""Eagle"" This card carries the energy of power. You are ready for new challenges. You have great potential. Do not doubt yourself, You are able to balance between the spiritual and the material.","""Орёл"" Эта карта несёт в себе энергию силы. Ты готова к новым свершениям. В тебе заключён огромный потенциал. Не сомневайся в себе, Ты способна балансировать между духовным и материальным.","""Орел"" Ця карта несе в собі енергію сили. Ти готова до нових звершень. У тебе є великий потенціал. Не сумнівайся в собі, Ти здатна балансувати між духовним та матеріальним."
internalCompass_8.jpg,"""Whale"" Congratulations! You have dealt with your emotions. You know how to live and accept your feelings. You are on the right track, good luck to you! You are also an optimist and you attract the same charged people to you. You are on the right track.","""Кит"" Поздравляю! Ты разобралась со своими эмоциями. Ты умеешь проживать и принимать свои чувства. Ты на верном пути, тебе сопутствует удача! А ещё Ты оптимист и притягиваешь к себе таких же заряженных людей. Ты на правильном пути.","""Кит"" Вітаю! Ти розібралася зі своїми емоціями. Ти вмієш проживати та приймати свої почуття. Ти на вірному шляху, тобі супроводжує удача! А ще Ти оптиміст і притягуєш до себе таких самих заряджених людей. Ти на правильному шляху."
internalCompass_9.jpg,"""Mysterious Forest"" The forest, like inner life, can be mysterious and full of surprises. But, it is in such an amazing place that you can discover new ways and prospects for your development. After all, Your inner world, Your ideas, emotions and imagination are not really limited by the body and mind.","""Таинственный лес"" Лес, как внутренняя жизнь, может быть загадочным и полным неожиданностей. Но, именно в таком удивительном месте Ты можешь обнаружить новые пути и перспективы для своего развития. Ведь Твой внутренний мир, Твои идеи, эмоции и воображение — на самом деле не ограничены телом и рассудком.","""Таємничий ліс"" Ліс, як внутрішнє життя, може бути загадковим і сповненим несподіванок. Але саме в такому дивовижному місці Ти можеш знайти нові шляхи та перспективи для свого розвитку. Адже Твій внутрішній світ, Твої ідеї, емоції та уява насправді не обмежені тілом і розумом."
internalCompass_10.jpg,"""Sage"" The card symbolizes your wisdom, spiritual maturity, experience, the ability to wait and move towards your goals. At the same time, it is a search for oneself, spiritual development. You are an introvert. Remember that people give energy, so don't close yourself off from them.","""Мудрец"" Карта символизирует Твою мудрость, духовную зрелость, опыт, умение ждать и двигаться к своим целям. В то же время — это поиск себя, духовного развития. Ты — интроверт. Помни, что люди дают энергию, поэтому не закрывайся от них.","""Мудрець"" Карта символізує Твою мудрість, духовну зрілість, досвід, уміння чекати та рухатися до своїх цілей. Водночас це пошук себе, духовного розвитку. Ти інтроверт. Пам'ятай, що люди дають енергію, тож не закривайся від них."
