file,descriptionEn,descriptionRu,descriptionUa
fulcrum_1.jpg,“Soul” Pay attention: are there any activities or environment in your life that take away energy? Evaluate the big picture and try to add pleasant events to your usual days that will fill and charge you 100%.,"""Душа"" Обрати внимание: нет ли сейчас в Твоей жизни занятий или окружения, которые забирают энергию? Оцени общую картину и постарайся добавить в привычные дни приятные события, которые будут Тебя наполнять и заряжать на 100%.","""Душа"" Зверни увагу: чи немає зараз у Твоєму житті занять чи оточення, які забирають енергію? Оціни загальну картину і постарайся додати у звичні дні приємні події, які наповнюватимуть Тебе і заряджатимуть на 100%."
fulcrum_2.jpg,"""Elephant"" The elephant is symbolized with abundance and prosperity. If you continue to work through the complexes and begin to appreciate yourself even more, you will not notice how life will be filled with interesting offers that will be difficult to refuse.","""Слон"" Слон символизируется с изобилием и достатком. Если Ты продолжишь прорабатывать комплексы и начнёшь ещё больше ценить себя, то не заметишь, как жизнь наполнится интересными предложениями, от которых будет сложно отказаться.","""Слон"" Слон символізується з достатком та достатком. Якщо Ти продовжиш опрацьовувати комплекси та почнеш ще більше цінувати себе, то не помітиш, як життя наповниться цікавими пропозиціями, від яких буде важко відмовитись."
fulcrum_3.jpg,"""Hide and Seek"" Any game indicates fun and risk to be taken. There is a feeling inside you that you are ready to let go of resentment, fears and doubts from a past life, but for this you need to take a risky step forward. Remember your Inner Support and boldly move in the direction of your dreams.","""Прятки"" Любая игра свидетельствует о веселье и риске, который будет предпринят. Внутри Тебя есть ощущение, что Ты готова отпустить обиды, страхи и сомнения из прошлой жизни, но для этого необходимо сделать рискованный шаг вперёд. Вспоминай про свою Внутреннюю Опору и смело двигайся в направлении мечты.","""Хованки"" Будь-яка гра свідчить про веселощі та ризик, який буде зроблено. Усередині Тебе є відчуття, що Ти готова відпустити образи, страхи та сумніви з минулого життя, але для цього необхідно зробити ризикований крок уперед. Згадуй про свою Внутрішню Опору та сміливо рухайся у напрямку мрії."
fulcrum_4.jpg,"""Abundance"" Flowers in an endless fragrant field symbolize Your life. The more you invest resources in caring for your field, so that it blooms, smells sweet and pleases you, the happier you will live your life.","""Изобилие"" Цветы в бескрайнем ароматном поле символизируют Твою жизнь. Чем больше Ты будешь вкладывать ресурс в уход за своим полем, чтобы оно цвело, благоухало и радовало Тебя, тем счастливее проживёшь свою жизнь.","""Достаток"" Квіти в безкрайньому ароматному полі символізують Твоє життя. Чим більше Ти вкладатимеш ресурс у догляд за своїм полем, щоб воно цвіло, пахло і тішило Тебе, тим щасливіше проживеш своє життя."
fulcrum_5.jpg,"""Man without a head"" The role of the mind is to study and analyze the external world. Every day he processes dozens of tons of information, unlike the heart, which knows exactly how to lead you to a happy and harmonious life. Turn off your head more often and trust your heart.","""Человек без головы"" Роль разума состоит в изучении и анализе внешнего мира. Ежедневно он обрабатывает десятки тонн информации, в отличие от сердца, которое точно знает, как привести Тебя к счастливой и гармоничной жизни. Чаще отключай голову и доверяйся своему сердцу.","""Людина без голови"" Роль розуму полягає у вивченні та аналізі зовнішнього світу. Щодня він обробляє десятки тонн інформації, на відміну від серця, яке точно знає, як привести Тебе до щасливого та гармонійного життя. Найчастіше відключай голову і довіряйся своєму серцю."
fulcrum_6.jpg,"""New life"" The process of birth is always associated with the renewal of the soul. Perhaps a moment has come in your life when the old programs of behavior and attitudes do not work - the time has come for a new You to be born: calm, harmonious and spiritually strong.","""Новая жизнь"" Процесс рождения всегда связан с обновлением души. Возможно, в Твоей жизни наступил момент, когда старые программы поведения и установки не работают — пришло время появиться на свет новой Тебе: спокойной, гармоничной и духовно сильной.","""Нове життя"" Процес народження завжди пов'язаний з оновленням душі. Можливо, у Твоєму житті настав момент, коли старі програми поведінки та настанови не працюють — настав час з'явитися на світ новій Тобі: спокійній, гармонійній та духовно сильній."
fulcrum_7.jpg,"""Kite"" Your soul demands to be released into free flight - it dreams of soaring in the sky high and for a long time! As soon as you trust this world and start to hear your inner “I”, positive changes will begin to occur in your destiny.","""Воздушный змей"" Твоя душа требует, чтобы её отпустили в свободный полёт — она мечтает парить в небе высоко и долго! Как только Ты доверишься этому миру и начнёшь слышать своё внутреннее ""Я"" — в Твоей судьбе начнут происходить положительные изменения.","""Повітряний змій"" Твоя душа вимагає, щоб її відпустили у вільний політ - вона мріє ширяти в небі високо і довго! Як тільки Ти довіришся цьому світу і почнеш чути своє внутрішнє ""Я"" — у Твоєї долі почнуть відбуватися позитивні зміни."
fulcrum_8.jpg,"""Octopus"" Look at the image of the octopus from a new angle: what makes it different from other animals? Perhaps the presence of a dozen tentacles, which he skillfully wields. You are also good at multi-tasking and keeping everything under control. Do not forget to harmonize your inner state from time to time, and then You will achieve incredible heights.","""Осьминог"" Взгляни на изображение осьминога под новым углом: что его отличает от других животных? Возможно, наличие десятка щупалец, которыми он мастерски орудует. У Тебя также получается отлично справляться сразу с несколькими делами и держать все под контролем. Не забывай время от времени гармонизировать внутреннее состояние, и тогда Ты добьёшься невероятных высот.","""Восьминіг"" Поглянь на зображення восьминога під новим кутом: що його відрізняє від інших тварин? Можливо, наявність десятка щупалець, якими він майстерно орудує. Тебе також виходить чудово справлятися відразу з кількома справами і тримати все під контролем. Не забувай час від часу гармонізувати внутрішній стан, і тоді доб'єшся неймовірних висот."
fulcrum_9.jpg,"""Camel"" Get ready to show endurance, dutifully accept the circumstances or face small obstacles on the way to the goal. Yes, it will not be easy, but do you remember that difficulties only harden you? The direction of further actions will be indicated to you by intuition. Listen to your inner voice. He won't let you down.","""Верблюд"" Приготовься проявить выносливость, покорно смириться с обстоятельствами или столкнуться с небольшими препятствиями на пути к цели. Да, будет непросто, но Ты же помнишь, что трудности только закаляют? Направление дальнейших действий Тебе укажет интуиция. Прислушивайся к своему внутреннему голосу. Он не подведет.","""Верблюд"" Приготуйся виявити витривалість, покірно змиритися з обставинами чи зіткнутися з невеликими перешкодами на шляху до мети. Так, буде непросто, але ж Ти пам'ятаєш, що труднощі тільки гартують? Напрямок подальших дій Тобі вкаже інтуїція. Прислухайся до свого голосу. Він не підведе."
fulcrum_10.jpg,"""Dance at the campfire"" Pay attention that there are always several people participating in the dance at the campfire, who create a single picture and mesmerize with their movements. Perhaps, very soon useful acquaintances will appear in your life that will change it. Open your heart and be ready to let new people into it.","""Танец у костра"" Обрати внимание, что в танце у костра всегда участвует несколько человек, которые выстраивают единую картинку и завораживают своими движениями. Возможно, совсем скоро в Твоей жизни появятся полезные знакомства, которые изменят ее. Открой своё сердце и будь готова впустить в него новых людей.","""Танець біля багаття"" Зверніть увагу, що в танці біля багаття завжди бере участь кілька людей, які вибудовують єдину картинку і зачаровують своїми рухами. Можливо, незабаром у Твоєму житті з'являться корисні знайомства, які змінять його. Відкрий своє серце і будь готова впустити в нього нових людей."
fulcrum_11.jpg,"""Firefly"" Remember the carefree joy that you experienced when you saw a firefly for the first time in your life. He calls you to keep and carry this state as long as possible. Only in this way will a lot of good and good news appear in your life.","""Светлячок"" Вспомни ту беззаботную радость, которую Ты испытала, когда впервые в жизни увидела светлячка. Он призывает Тебя сохранить и пронести это состояние, как можно дольше. Только так в Твоей жизни появится много добра и приятных известий.","""Світлячок"" Згадай ту безтурботну радість, яку Ти пережила, коли вперше в житті побачила світлячка. Він закликає Тебе зберегти і пронести цей стан якнайдовше. Тільки так у Твоєму житті з'явиться багато добра та приємних звісток."
fulcrum_12.jpg,"""Heart"" An erupting volcano and bright lightning indicate that life does not always consist only of sunny days or good events. However, no matter how the circumstances around you, remember that You have You and Your heart - listen to it, no matter what.","""Сердце"" Извергающийся вулкан и яркие молнии говорят о том, что жизнь не всегда состоит только из солнечных дней или добрых событий. Однако, как бы не складывались обстоятельства вокруг, помни, что у Тебя есть Ты и Твое сердце — слушай его, несмотря ни на что.","""Серце"" Вулкан, що вивергається, і яскраві блискавки говорять про те, що життя не завжди складається тільки з сонячних днів або добрих подій. Однак, як би не складалися обставини навколо, пам'ятай, що у Тебе є Ти і Твоє серце – слухай його, незважаючи ні на що."
fulcrum_13.jpg,"""In the Web"" It's time to get out of the web of your own fears and doubts. Often they have nothing to do with reality. Remember that 90% of fears will never be reflected in reality. Focus on the positive, and luck will surely smile at you.","""В паутине"" Пришло время выпутаться из паутины собственных страхов и сомнений. Часто они не имеют ничего общего с реальностью. Помни, что 90% страхов никогда не найдут отражение в реальности. Фокусируйся на положительном, и Тебе обязательно улыбнётся удача.","""У павутинні"" Настав час виплутатися з павутиння власних страхів та сумнівів. Часто вони мають нічого спільного з реальністю. Пам'ятай, що 90% страхів ніколи не знайдуть відображення в реальності. Фокусуйся на позитивному, і Тобі обов'язково посміхнеться успіх."
fulcrum_14.jpg,"""Poppies"" Fragrant poppies are a symbol of the upcoming pleasure, which will last a long time in your life, if you nourish this state with the appropriate resource and emotions. Therefore, right now is the time to shift the focus of attention from external to internal and begin to develop ease, acceptance and awareness in yourself. Do it - you will succeed.","""Маки"" Ароматные маки — символ предстоящего удовольствия, которое долго продлится в Твоей жизни, если питать это состояние соответствующим ресурсом и эмоциями. Поэтому именно сейчас пора сместить фокус внимания с внешнего на внутреннее и начать развивать в себе лёгкость, принятие и осознанность. Действуй — у Тебя все получится.","""Маки"" Ароматні маки - символ майбутнього задоволення, яке довго триватиме у Твоєму житті, якщо мати цей стан відповідним ресурсом та емоціями. Тому саме зараз настав час змістити фокус уваги із зовнішнього на внутрішнє і почати розвивати в собі легкість, прийняття та усвідомленість. Дій — у Тебе все вийде."
fulcrum_15.jpg,"""Gardening"" Any work with hands symbolizes painstaking work on something and a close relationship with the subject. Soon a person will appear in your life, the connection with which will bring you many happy moments and fill your life with new meaning. Be careful - he's already somewhere nearby.","""Садоводство"" Любая работа руками символизирует кропотливую работу над чем-то и тесную связь с предметом. В скором времени в Твоей жизни появится человек, связь с которым принесет вам немало счастливых минут и наполнит жизнь новым смыслом. Будь внимательна — он уже где-то рядом.","""Садівництво"" Будь-яка робота руками символізує копітку роботу над чимось і тісний зв'язок із предметом. Незабаром у твоїм житті з'явиться людина, зв'язок з якою принесе вам чимало щасливих хвилин і наповнить життя новим змістом. Будь уважна — він уже поряд."
fulcrum_16.jpg,"""Sky Lanterns"" The key function of flashlights is to illuminate the road. Soon your life will be illuminated by the development of events that you have no idea about yet! It will be a new chapter in your life, full of vivid emotions, gratitude to yourself, exciting events. Be attentive to details and follow your heart.","""Небесные фонарики"" Ключевая функция фонариков — освещать дорогу. В скором времени в Твоей жизни подсветятся пути развития событий, о которых Ты пока не догадываешься! Это будет новая глава в твоей жизни, полная ярких эмоций, благодарности к себе, увлекательных событий. Будь внимательна к деталям и иди по зову своего сердца.","""Небесні ліхтарики"" Ключова функція ліхтариків – освітлювати дорогу. Незабаром у Твоєму житті підсвітляться шляхи розвитку подій, про які Ти поки що не здогадуєшся! Це буде новий розділ у твоєму житті, сповнений яскравих емоцій, подяки до себе, захоплюючих подій. Будь уважна до деталей та йди за покликом свого серця."
fulcrum_17.jpg,"""Man in the rain"" Significant changes are taking place in your life. Sometimes it seems to you that you are all alone on your way - it can be difficult to achieve understanding from others. No matter what, keep going forward, and the rainy weather will soon change into clear sunshine.","""Человек под дождём"" В Твоей жизни происходят существенные перемены. Иногда тебе кажется, что на своём пути Ты совсем одна — бывает сложно добиться понимания со стороны окружающих. Несмотря ни на что, продолжай идти вперёд, и дождливая погода, в скором времени, сменится на ясное солнце.","""Людина під дощем"" У Твоєму житті відбуваються істотні зміни. Іноді тобі здається, що на своєму шляху Ти зовсім одна - буває складно досягти розуміння з боку оточуючих. Незважаючи ні на що, продовжуй йти вперед, і дощова погода незабаром зміниться на ясне сонце."
fulcrum_18.jpg,"""Dawn"" Dawn symbolizes the beginning of a new stage in life. Take this time as a favorable period for spiritual development. Keep getting to know yourself and working on your inner support without giving up.","""Рассвет"" Рассвет символизирует начало нового этапа в жизни. Восприми это время, как благоприятный период для духовного совершенствования. Продолжай узнавать себя и работать над внутренней опорой, не опуская руки.","""Світанок"" Світанок символізує початок нового етапу життя. Сприйми цей час як сприятливий період для духовного вдосконалення. Продовжуй впізнавати себе та працювати над внутрішньою опорою, не опускаючи руки."
fulcrum_19.jpg,"""Angel"" Knock knock! An angel is already knocking on your door. Hurry open, because he came to show deep concern and kindness. Trust this world and enjoy the magical events that will begin to happen.","""Ангел"" Тук-тук! Ангел уже стучится к Тебе в дверь. Скорее открывай, ведь он пришёл, чтобы проявить глубокую заботу и доброту. Доверься этому миру и наслаждайся волшебными событиями, которые начнут происходить.","""Ангел"" Тук-тук! Ангел уже стукає до Тебе у двері. Скоріше відкривай, адже він прийшов, щоб виявити глибоку турботу та доброту. Довірся цьому світу і насолоджуйся чарівними подіями, які почнуть відбуватися."
